mix_id,ep_id,title,author,tv_url,visibility,long_short,asset_class_guess,default_tf,input_count,primary_status,origin,origin_tag,pine_copied,customer_default,inputs_compact
MIX-TV-EP-001,EP-001,TASC 2026.08 An Ag Selling Model,PineCodersTASC,https://www.tradingview.com/script/VFzCk3HX-TASC-2026-08-An-Ag-Selling-Model/,open-source,short,commodity_futures_guess,1D,7,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Source=close; MA length=40; ATR length=20; ATR factor=2.5; Month of harvest=11; Delay in months after harvest=2; Days between trades=30
MIX-TV-EP-002,EP-002,TASC 2026.03 One Percent A Week,PineCodersTASC,https://www.tradingview.com/script/nVECqIQx-TASC-2026-03-One-Percent-A-Week/,open-source,long,us_equity_or_index_guess,15,0,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,
MIX-TV-EP-003,EP-003,Trading Report Generator from CSV,adolgov,https://www.tradingview.com/script/OTfw8b2a-Trading-Report-Generator-from-CSV/,open-source,long+short,crypto_guess,60,1,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"Transactions CSV:=""Symbol"
MIX-TV-EP-004,EP-004,TrendMaster Pro 2.3 with Alerts,everget,https://www.tradingview.com/script/mVkDf8qh-TrendMaster-Pro-2-3-with-Alerts/,open-source,long+short,any_chart_guess (TV default; not NSE frozen),240,57,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"MA Type=""SMA""; Enable Higher Timeframe Trend=false; Trend MA Type=""EMA""; Trend MA Length=50; Short-Term MA Length=9; Long-Term MA Length=21; Band Length=20; Band Type=2; Show Support & Resistance=false; Calculation Method=""Traditional""; Timeframe=""Auto""; Use Daily-Based Values=true"
MIX-TV-EP-005,EP-005,Bjorgum Double Tap,Bjorgum,https://www.tradingview.com/script/rLkjr2sQ-Bjorgum-Double-Tap/,open-source,long+short,india_index_guess,60,33,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Use Strategy=true; Detect Bottoms=true; Detect Tops=true; Flip Trades=true; Pivot Tolerance=15; Pivot Length=50; Target Fib=100; Stop Loss Fib=0; Line Offset=30; Start Filter=timeStart; End Filter=timeEnd; Use Trail Stop=false
MIX-TV-EP-006,EP-006,Traling.SL.Target,Sharad_Gaikwad,https://www.tradingview.com/script/4jxYYaGU-Traling-SL-Target/,open-source,long+short,india_index_guess,60,16,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Pivot parameters for trade=false; Fast len=20; Slow len=50; BG color for ongoing trade SL/Target label=color.white; Method to be used for SL/Target trailing='% Based Target and SL'; % Based Target and SL=true; Inital profit %=1; Inital SL %=1; Initiate trailing %=0.5; Trail profit by %=0.3; Trail SL by %=0.3; Fix point Based Target and SL=false
MIX-TV-EP-007,EP-007,Template Trailing Strategy (Backtester),jason5480,https://www.tradingview.com/script/n8bgynWl-Template-Trailing-Strategy-Backtester/,open-source,long+short,india_index_guess,240,222,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Timezones Ref->Chart=chr.Timezone.Exchange; From=false; To=false; 01 Jan 2024 00:00=timestamp('01 Jan 2024 00:00'; 01 Jan 2025 00:00=timestamp('01 Jan 2025 00:00'; >=chr.Timezone.Exchange; Session Days=false; Sun=false; Mon=true; Tue=true; Wed=true; Thu=true
MIX-TV-EP-008,EP-008,3Commas Bot,Bjorgum,https://www.tradingview.com/script/MvlwAzSg-3Commas-Bot/,open-source,long+short,any_chart_guess (TV default; not NSE frozen),60,25,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Detect Long Trades=true; Detect Short Trades=true; Use Limit exit=true; Use ATR Trailing Stop=false; Allow Reversal Trades=false; Set Max Total DrawDown=false; Reward to Risk Ratio=1; Risk Adjustment=1; Swing Lookback=5; int_unnamed=20; ATR length=14; ATR Trailing Stop Multiplier=1.0
MIX-TV-EP-009,EP-009,Monthly Returns in PineScript Strategies,QuantNomad,https://www.tradingview.com/script/kzp8e4X3-Monthly-Returns-in-PineScript-Strategies/,open-source,long+short,us_equity_or_index_guess,240,1,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Return Precision=2
MIX-TV-EP-010,EP-010,How to use Leverage and Margin in PineScript,Peter_O,https://www.tradingview.com/script/9Iwinz7I-How-to-use-Leverage-and-Margin-in-PineScript/,open-source,long+short,us_equity_or_index_guess,60,3,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,K=13; D=3; Smooth=4
MIX-TV-EP-011,EP-011,Сalculation a position size based on risk,adolgov,https://www.tradingview.com/script/hoCPm5UY-%D0%A1alculation-a-position-size-based-on-risk/,open-source,long+short,us_equity_or_index_guess,1D,2,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Stop Loss %%=10; Risk=2
MIX-TV-EP-012,EP-012,Oscillator Evaluator (Analysis tool),mks17,https://www.tradingview.com/script/M9taaIkp-Oscillator-Evaluator-Analysis-tool/,open-source,long+short,india_index_guess,120,30,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"Average Returns Ratio Adjustment=1; Show Long Entries Only=false; Show Short Entries Only=false; Strategy Selector=""MA Strategy""; Oscillator Selector=""Oscillator 1""; Oscillator 1 Scale Adjustment=1; Oscillator 1 Timeframe Adjustment=0.2; Oscillator 2 Scale Adjustment=1; Oscillator 2 Timeframe Adjustment=0.2; Oscillator 3 Scale Adjustment=1; Oscillator 3 Timeframe Adjustment=0.2; MA Strat Length=7"
MIX-TV-EP-013,EP-013,Built-in Kelly ratio for dynamic position sizing,CryptoRox,https://www.tradingview.com/script/bFXf4IXh-Built-in-Kelly-ratio-for-dynamic-position-sizing/,open-source,long+short,us_equity_or_index_guess,240,10,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"Kelly Ratio Position Sizing=true; Multiplier=1.0; Source=close; Use Exponential MA=true; Bands Style=options = [""Average True Range""; ATR Length=10; use Take Profit=false; use Stop Loss=false; take profit=10.0; stop loss=1.0"
MIX-TV-EP-014,EP-014,Ultimate Strategy Template,Daveatt,https://www.tradingview.com/script/2lGyzYkC-Ultimate-Strategy-Template/,open-source,long+short,us_equity_or_index_guess,60,29,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"Data source=close; Use Custom Close?=false; Colour Candles to Trade Order state=true; Close positions at market at the end of each session ?=false; Trading Session=""0000-2345""; Open  Trading Direction=""ALL""; Close Trading Direction=""ALL""; Close on Opposite Signal=true; ═════════════ Date Range Filtering=false; 01 Jan 2019 13:30 +0000=timestamp(""01 Jan 2019 13:30 +0000""; 30 Dec 2021 23:30 +0000=timestamp(""30 Dec 2021 23:30 +0000""; ═════════════ Set Max number of consecutive loss trades=false"
MIX-TV-EP-015,EP-015,Stop loss and Take Profit in $$ example,adolgov,https://www.tradingview.com/script/IHVPG6TS-Stop-loss-and-Take-Profit-in-example/,open-source,long+short,india_index_guess,1,2,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Take Profit $$=200; Stop Loss $$=100
MIX-TV-EP-016,EP-016,Stepped trailing strategy example,adolgov,https://www.tradingview.com/script/jjhUHcje-Stepped-trailing-strategy-example/,open-source,long,india_index_guess,1D,4,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,stop loss %%=5; take profit 1 %%=5; take profit 2 %%=10; take profit 3 %%=15
MIX-TV-EP-017,EP-017,PMax Explorer STRATEGY & SCREENER,KivancOzbilgic,https://www.tradingview.com/script/nHGK4Qtp/,open-source,long+short,india_index_guess,1D,21,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"Source=hl2; ATR Length=10; ATR Multiplier=3.0; Moving Average Type=""EMA""; Moving Average Length=10; Change ATR Calculation Method ?=true; Show Moving Average?=true; Show Crossing Signals?=true; Show Price/Pmax Crossing Signals?=false; Highlighter On/Off ?=true; Show Screener Label=true; Pos. Label x-axis=20"
MIX-TV-EP-018,EP-018,Grid Like Strategy,alexgrover,https://www.tradingview.com/script/oxvR5vMy-Grid-Like-Strategy/,open-source,long+short,india_index_guess,15,3,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,Order Size=1; Martingale Multiplier=2.; Anti Martingale=false
MIX-TV-EP-019,EP-019,Gap Filling Strategy,alexgrover,https://www.tradingview.com/script/ghocsiv7-Gap-Filling-Strategy/,open-source,long+short,india_index_guess,15,1,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"New Session=""Close When:"""
MIX-TV-EP-020,EP-020,inwCoin Martingale Strategy ( for Bitcoin ),Real_inwCoin,https://www.tradingview.com/script/8OS1nbr8-inwCoin-Martingale-Strategy-for-Bitcoin/,open-source,long,crypto_guess,240,11,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,"Start Position Logic=""MACD Line > 0""; Take Profit Percent=5.0; Start Martingale if price drop with this Percent=10.0; Martingale Multiplier=2.0; Trade direction=""Long Only""; From Year=2018; From Month=1; From Day=1; To Year=9999; To Month=1; To Day=1"
MIX-TV-EP-021,EP-021,LUBE,Jomy,https://www.tradingview.com/script/i9tJOtjl-LUBE/,open-source,long+short,crypto_guess,30,7,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,bars back to measure friction=500; 0-100 friction level to stop trade=50; pic lower than 0 to number selected above to initiate trade=-10; bars back to measure lowest friction=100; Source=close; leverage=2; enable shorts?=true
MIX-TV-EP-022,EP-022,How To Set Backtest Time Ranges,allanster,https://www.tradingview.com/script/xAEG4ZJG-How-To-Set-Backtest-Time-Ranges/,open-source,long,india_index_guess,30,13,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,FastMA Length=14; SlowMA Length=28; From Month=1; From Day=1; From Year=2021; Thru Month=1; Thru Day=1; Thru Year=2112; Entry Time='0000-0000'; Exit Time='0000-0000'; Show Date Range=true; Show Time Entry=true
MIX-TV-EP-023,EP-023,Grover Llorens Activator Strategy Analysis,alexgrover,https://www.tradingview.com/script/VuYM89Tw-Grover-Llorens-Activator-Strategy-Analysis/,open-source,long+short,us_equity_or_index_guess,60,0,RULES_EXTRACTED,WEB-DERIVED,TV-EDITOR-PICK,False,False,
MIX-TV-EP-024,EP-024,Factory calibrator SMA crossover,PROJECT,,n/a,long+short,n/a,chart_tf,2,BACKTEST_QUEUED,TV-PUBLIC-RULE,FACTORY,False,False,fast=10; slow=50
MIX-TV-EP-025,EP-025,Factory calibrator MACD histogram,PROJECT,,n/a,long+short,n/a,chart_tf,3,BACKTEST_QUEUED,TV-PUBLIC-RULE,FACTORY,False,False,fast=12; slow=26; signal=9
